order_id,region,channel,order_date,units,revenue,customer_segment
1001,North,online,2024-01-03,4,182.40,SMB
1002,South,retail,2024-01-03,2,74.10,Enterprise
1003,East,online,2024-01-04,7,331.75,SMB
1004,West,online,2024-01-05,1,,Consumer
1005,North,retail,2024-01-06,3,també,Enterprise
1006,South,online,2024-01-07,5,240.00,Consumer
1007,East,retail,2024-01-08,9,99999.00,SMB
1008,West,online,2024-01-09,2,88.25,Enterprise
1009,North,online,2024-01-10,6,275.60,Consumer
1010,South,retail,2024-01-11,4,163.30,SMB
